timestamp,price,quantity,side
2024-01-01T00:00:00Z,45000.00,1.5,bid
2024-01-01T00:00:01Z,45001.00,2.0,bid
2024-01-01T00:00:02Z,45002.00,1.0,bid
2024-01-01T00:00:03Z,45005.00,0.5,ask
2024-01-01T00:00:04Z,45006.00,1.2,ask
2024-01-01T00:00:05Z,45003.50,0.8,bid
2024-01-01T00:00:06Z,45007.00,1.5,ask
2024-01-01T00:00:07Z,45002.50,2.5,bid
2024-01-01T00:00:08Z,45004.00,1.8,ask
2024-01-01T00:00:09Z,45001.50,3.0,bid
2024-01-01T00:00:10Z,45008.00,0.9,ask
2024-01-01T00:00:11Z,45000.50,1.2,bid
2024-01-01T00:00:12Z,45005.50,2.1,ask
2024-01-01T00:00:13Z,44999.00,0.7,bid
2024-01-01T00:00:14Z,45009.00,1.3,ask
2024-01-01T00:00:15Z,44998.50,2.2,bid
2024-01-01T00:00:16Z,45010.00,1.8,ask
2024-01-01T00:00:17Z,45003.00,1.5,bid
2024-01-01T00:00:18Z,45006.50,2.0,ask
2024-01-01T00:00:19Z,45004.50,1.0,bid
2024-01-01T00:00:20Z,45007.50,1.2,ask
2024-01-01T00:00:21Z,45002.00,2.5,bid
2024-01-01T00:00:22Z,45008.50,1.7,ask
2024-01-01T00:00:23Z,45001.00,3.0,bid
2024-01-01T00:00:24Z,45009.50,0.8,ask
2024-01-01T00:00:25Z,45000.00,1.5,bid
2024-01-01T00:00:26Z,45010.50,2.2,ask
2024-01-01T00:00:27Z,44999.50,1.8,bid
2024-01-01T00:00:28Z,45011.00,1.5,ask
2024-01-01T00:00:29Z,44998.00,2.0,bid
2024-01-01T00:00:30Z,45012.00,1.0,ask
